GeoFIPS,GeoName,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01071,"Jackson, AL",22010,22182,22349,23539,25116,26404,27206,28505,29507,28685,29558,30285,30872,31698,32553,33359,33934,34715,35957,36957,39025,43280,44272,45890,48078
01073,"Jefferson, AL",31252,31458,32541,33758,36147,37664,39969,41095,42239,40264,42087,43235,44940,44206,45628,47836,48490,51073,53065,54561,57966,65321,67540,72313,75312
01075,"Lamar, AL",19080,20132,20354,20841,21207,22400,23115,24465,25229,25168,26640,27935,28974,29020,29730,31011,31358,31813,32618,34228,36828,39937,40141,42158,44886
01077,"Lauderdale, AL",22254,23360,23559,24336,25735,27048,28211,29594,29973,29521,31004,31842,32264,32292,33572,34464,34808,35238,36382,38290,42085,44977,44918,47167,49560
01079,"Lawrence, AL",19884,20669,20339,21834,23506,24023,24936,26647,27677,27258,27698,28294,29180,31095,32043,31757,31030,32292,33689,35759,37818,42346,43959,44995,47190
01081,"Lee, AL",20941,21327,22178,23452,25150,25961,27305,28471,30036,29170,29951,30881,31840,31445,32621,33768,34720,35651,36517,38989,41028,45303,46178,48614,50811
01083,"Limestone, AL",22558,23016,23451,25392,26050,27484,29204,30708,32986,32829,34089,35644,36225,36384,36821,37766,38822,40622,42453,44370,47402,53281,53967,57214,59614
01085,"Lowndes, AL",17768,19244,19174,20507,23275,24246,25428,27766,28634,29498,30797,30668,32835,34643,35719,36331,35599,37019,37404,39492,43423,48628,50952,53495,58121
01087,"Macon, AL",16125,16805,17248,18290,19987,20793,21819,22822,24190,25355,25450,25918,26208,26755,27548,28342,29113,29361,30139,31494,34745,38053,38786,41616,44788
01089,"Madison, AL",29685,30176,30741,31928,33770,35527,37330,39218,41080,40466,41852,43459,43902,43560,44560,46059,47122,48347,50196,52649,56100,60682,62519,66069,69038
01091,"Marengo, AL",21614,21899,22494,22918,25128,26743,28146,28782,29416,29111,30477,31512,32504,33013,34004,35018,35425,36009,38100,39725,43877,47535,46806,49730,52576
01093,"Marion, AL",18608,18873,19434,20008,22016,23559,23722,24892,25201,24988,25641,25946,27256,27801,29189,30406,30479,31766,32632,33481,37131,41633,43363,45271,47179
01095,"Marshall, AL",21861,23335,23365,24482,25717,26537,27013,28111,28731,28984,29709,29649,30790,31077,32094,34051,33616,34556,35648,37674,41167,46123,47043,48839,51209
01097,"Mobile, AL",22019,23115,23560,24173,25198,27115,29713,30479,31505,30602,31865,33670,33281,33676,34399,35768,35940,36679,37827,39294,42588,47810,48370,51482,53901
